,Ana Pinzon Dep 1:RASI,,Ana Pinzon Dep 1:RPSI,,Ana Pinzon Dep 1:RTHI,,Ana Pinzon Dep 1:RKNE,,Ana Pinzon Dep 1:RTIB,,Ana Pinzon Dep 1:RANK,,Ana Pinzon Dep 1:RHEE,,Ana Pinzon Dep 1:RTOE,
Frame,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z
,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
50,-186.862137,1277.834595,-387.939819,1280.148315,-245.707397,969.57196,-272.500549,811.558289,-317.457214,618.57489,-342.798279,423.505707,-395.312042,390.530914,-183.785507,379.794617
51,-187.017166,1277.862915,-388.04837,1280.239136,-245.680374,969.629456,-272.224365,811.555359,-317.268982,618.570496,-342.800476,423.539642,-395.316528,390.530548,-183.786972,379.790558
52,-187.150864,1277.881104,-388.14389,1280.33313,-245.636475,969.672119,-271.939606,811.549011,-317.07843,618.556519,-342.796539,423.568665,-395.321747,390.530365,-183.791779,379.797058
53,-187.2612,1277.889404,-388.224731,1280.429199,-245.577087,969.701355,-271.64859,811.540161,-316.886353,618.533997,-342.786987,423.593567,-395.327545,390.530304,-183.79985,379.812988
54,-187.346115,1277.887085,-388.288574,1280.527344,-245.504105,969.718201,-271.354034,811.53009,-316.693542,618.5047,-342.772797,423.615295,-395.333832,390.530243,-183.810867,379.835907
55,-187.403641,1277.874023,-388.332825,1280.629028,-245.419739,969.724304,-271.059021,811.519836,-316.500977,618.470703,-342.754974,423.634705,-395.340515,390.529907,-183.824203,379.862823
56,-187.431763,1277.849121,-388.354187,1280.737061,-245.326218,969.721008,-270.766602,811.510132,-316.30957,618.434265,-342.73465,423.652557,-395.347656,390.529144,-183.838959,379.890228
57,-187.428543,1277.811768,-388.349182,1280.85498,-245.225693,969.709717,-270.479706,811.501404,-316.120575,618.3974,-342.713043,423.669647,-395.355194,390.527802,-183.854126,379.914825
58,-187.392044,1277.761353,-388.314087,1280.987183,-245.120087,969.691772,-270.200897,811.49353,-315.93512,618.362183,-342.691345,423.686523,-395.363098,390.525909,-183.868622,379.933533
59,-187.320282,1277.697021,-388.245239,1281.138428,-245.010895,969.668518,-269.93222,811.486328,-315.754364,618.3302,-342.670532,423.703766,-395.371277,390.523499,-183.881424,379.944336
60,-187.211319,1277.61853,-388.139069,1281.312744,-244.899155,969.641235,-269.67514,811.478943,-315.579437,618.30249,-342.651459,423.72168,-395.3797,390.520813,-183.891754,379.946075
61,-187.063263,1277.525269,-387.99231,1281.51355,-244.785416,969.611023,-269.430542,811.470642,-315.411316,618.279907,-342.634827,423.74057,-395.388062,390.518188,-183.899231,379.938965
62,-186.874313,1277.417725,-387.802368,1281.743652,-244.669678,969.579224,-269.19873,811.460327,-315.250732,618.263,-342.621033,423.76062,-395.396301,390.515991,-183.903702,379.924133
